Params,Score
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7333333333333333
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.7333333333333333
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.7333333333333333
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.7333333333333333
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.6666666666666667
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.6666666666666667
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.36666666666666664
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.36666666666666664
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}",nan
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 13, 'p': 1, 'weights': 'distance'}",nan
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}",nan
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 13, 'p': 2, 'weights': 'distance'}",nan
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7333333333333333
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.7333333333333333
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.7333333333333333
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.7333333333333333
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.6666666666666667
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.6666666666666667
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.36666666666666664
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.36666666666666664
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.8
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}",nan
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 13, 'p': 1, 'weights': 'distance'}",nan
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}",nan
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 13, 'p': 2, 'weights': 'distance'}",nan
